Notification_ID,Title,Message,Type,Priority,Delivery_Method,Sent_At,Status,Created_At,Updated_At
NT00001,Notice,Friendly nearby family service public space secure central family meeting service family central reserve meeting,push,medium,immediate,2025-08-28 18:08:52,sent,2024-11-22 07:03:29,2025-01-22 06:50:00
NT00002,Notice,Available gathering area book public access book reserve service available book event meeting community family,push,low,scheduled,2025-12-18 15:41:17,sent,2022-08-02 11:16:17,2024-09-14 02:59:29
NT00003,Alert,Family secure meeting nearby gathering gathering friendly friendly family community access area book event book,sms,low,immediate,2023-06-23 17:06:21,failed,2023-09-23 14:58:15,2024-10-13 10:34:49
NT00004,Notice,Spot secure service central friendly reserve gathering spot service open nearby event nearby facility secure,email,high,scheduled,2023-03-18 10:32:51,queued,2022-04-28 10:36:31,2024-09-01 07:27:02
NT00005,Update,Area friendly gathering secure meeting event reserve gathering area public public space spot service reserve,email,high,immediate,2024-02-11 08:46:40,queued,2022-07-07 22:58:09,2025-11-26 07:12:30
NT00006,Alert,Area access event area family family reserve nearby central available service friendly event gathering facility,push,medium,immediate,2023-01-22 06:43:45,sent,2022-02-24 01:04:13,2025-08-23 03:53:11
NT00007,Event,Friendly public public spot central area gathering facility reserve meeting meeting nearby public reserve access,email,high,immediate,2025-03-13 13:23:42,queued,2023-12-10 04:52:33,2024-02-29 02:46:34
NT00008,Event,Available secure family available spot public meeting area service event community public nearby open secure,email,low,immediate,2023-05-31 08:44:35,failed,2023-07-18 12:12:14,2024-12-11 15:13:43
NT00009,Reminder,Space central book family meeting service access reserve secure available friendly event facility gathering access,push,low,immediate,2023-08-27 04:41:20,failed,2022-02-06 01:32:05,2024-07-16 02:00:59
NT00010,Notice,Family gathering gathering available secure friendly gathering book space central area nearby friendly meeting event,email,medium,immediate,2025-06-12 20:49:38,sent,2024-09-21 22:48:20,2025-05-11 15:27:16
NT00011,Notice,Available public area service meeting reserve community area family community service access open meeting facility,push,high,immediate,2025-04-14 01:40:45,sent,2023-04-24 23:29:19,2025-01-18 22:22:24
NT00012,Reminder,Space book facility book available community gathering spot reserve secure meeting open community nearby nearby,push,low,scheduled,2025-05-11 22:44:12,queued,2024-02-09 23:54:44,2024-10-30 20:07:23
NT00013,Notice,Friendly reserve book friendly family space service public friendly spot available spot public spot meeting,push,medium,immediate,2023-12-25 06:55:52,sent,2023-01-14 08:07:12,2024-10-28 05:08:39
NT00014,Alert,Access spot central access book nearby facility gathering public friendly nearby community access reserve event,push,low,immediate,2024-10-29 21:55:57,failed,2023-05-15 18:56:24,2024-05-21 23:55:48
NT00015,Notice,Friendly secure nearby secure family nearby family public public book available event service secure public,push,medium,immediate,2025-06-08 09:41:10,sent,2024-02-23 20:51:32,2025-01-22 12:33:02
NT00016,Alert,Available central area spot secure space secure family friendly secure event event central public secure,sms,medium,immediate,2024-05-07 21:23:39,failed,2024-11-08 09:53:58,2025-10-03 01:28:36
NT00017,Reminder,Secure open friendly community book service available central gathering nearby public nearby gathering area space,email,high,scheduled,2023-02-22 01:44:40,sent,2024-02-08 19:13:01,2024-02-27 22:17:04
NT00018,Event,Space available space reserve space access open available open spot access access public reserve area,sms,medium,immediate,2025-10-11 16:02:36,failed,2023-07-31 14:13:34,2024-06-15 02:07:06
NT00019,Alert,Family reserve friendly access public public community friendly reserve facility available facility gathering community open,push,high,immediate,2024-06-23 00:49:39,failed,2024-12-09 19:25:31,2024-09-26 02:26:42
NT00020,Update,Open facility space public central gathering central area central access facility central facility area nearby,email,high,immediate,2023-06-10 21:57:06,sent,2022-01-01 13:49:45,2024-04-25 07:58:07
NT00021,Alert,Area service book public facility spot event public area space book meeting meeting community nearby,push,medium,immediate,2023-10-16 14:24:10,failed,2024-11-11 01:33:56,2024-04-06 15:41:52
NT00022,Event,Meeting space facility book secure gathering service central central reserve facility service central space secure,push,low,scheduled,2024-01-09 03:43:33,queued,2023-02-01 09:30:22,2025-06-15 15:17:12
NT00023,Update,Spot event secure friendly book access friendly family area secure area public service service nearby,sms,low,scheduled,2024-04-13 20:50:28,failed,2022-02-16 17:56:35,2025-12-20 21:25:50
NT00024,Notice,Reserve access book nearby facility reserve access central area access friendly public friendly gathering community,push,low,immediate,2023-12-17 06:34:11,sent,2023-12-17 11:56:17,2025-11-21 05:47:48
NT00025,Reminder,Nearby book book community event nearby central book access open space book central space spot,sms,high,scheduled,2025-07-24 21:37:59,sent,2024-12-30 09:46:35,2024-08-28 15:39:15
NT00026,Notice,Available meeting service community open family community event community available reserve book service nearby spot,push,medium,scheduled,2023-09-24 10:51:17,queued,2023-11-23 22:11:58,2025-06-08 20:09:13
NT00027,Reminder,Available meeting facility service facility secure central book access gathering open family access gathering open,push,low,immediate,2025-07-14 10:00:31,failed,2022-06-09 22:21:21,2024-03-06 22:51:29
NT00028,Alert,Facility service gathering public available central service reserve open secure event spot facility reserve friendly,push,medium,immediate,2025-03-27 23:25:51,sent,2023-05-02 13:25:23,2024-02-23 09:48:21
