Space_Category_ID,Category_Name,Description,Created_At,Updated_At
SC001,Auditorium,Facility friendly secure facility area spot community reserve,2021-03-22 04:49:54,2025-01-02 10:46:09
SC002,Gym,Available space facility event reserve family reserve community,2022-07-20 16:53:06,2024-05-21 14:45:31
SC003,Community Hall,Friendly gathering facility available family space family event,2020-03-07 10:47:54,2025-03-12 09:49:21
SC004,Courtyard,Service friendly friendly space family reserve space central,2023-10-13 13:15:08,2024-02-22 04:02:24
SC005,Auditorium,Gathering available gathering open spot space reserve area,2021-11-16 08:41:18,2025-07-06 04:08:04
SC006,Garden,Reserve friendly family reserve friendly friendly event family,2022-10-28 15:23:54,2024-10-10 01:58:58
SC007,Library,Gathering facility service secure facility service secure family,2022-07-14 22:36:29,2025-01-11 02:23:21
SC008,Gym,Family facility space family meeting nearby public meeting,2023-11-28 05:23:12,2025-05-23 05:28:46
SC009,Gym,Service available meeting nearby service public event access,2023-08-13 00:46:55,2024-10-25 06:53:00
SC010,Library,Community secure secure service event spot book friendly,2022-09-22 21:36:12,2025-11-12 19:18:09
SC011,Plaza,Access event public friendly open meeting facility nearby,2024-04-25 01:43:22,2024-05-31 12:51:24
SC012,Open Space,Facility open central reserve meeting nearby secure book,2023-09-26 05:35:17,2024-06-14 08:39:42
SC013,Library,Community event public meeting open spot community event,2021-12-05 05:23:11,2025-01-16 16:19:36
SC014,Plaza,Nearby service public community central friendly central central,2020-11-15 00:09:22,2025-07-13 18:28:27
SC015,Rooftop,Available meeting family nearby friendly nearby book friendly,2024-02-01 16:05:47,2024-12-12 04:05:21
SC016,Garden,Central public spot event access secure access space,2020-04-22 22:08:31,2025-10-18 07:06:18
SC017,Courtyard,Service friendly friendly open space secure book nearby,2022-11-14 14:21:37,2024-07-18 17:51:26
SC018,Rooftop,Available service space book gathering reserve access gathering,2020-01-25 10:21:49,2024-12-19 12:47:32
SC019,Open Space,Nearby family space reserve access nearby secure meeting,2024-07-08 15:25:52,2025-02-28 05:04:53
SC020,Courtyard,Spot public event nearby service event central spot,2022-02-08 03:13:13,2024-01-07 14:54:28
SC021,Open Space,Access spot reserve friendly public open gathering spot,2020-03-27 10:59:42,2025-08-22 11:03:54
SC022,Garden,Spot facility community community meeting nearby secure facility,2023-09-01 10:28:27,2025-03-03 06:31:50
SC023,Garden,Central available community friendly facility nearby spot gathering,2022-09-11 20:35:30,2025-03-22 09:23:24
SC024,Garden,Nearby secure gathering reserve community meeting spot public,2022-08-02 04:55:59,2024-12-31 05:56:45
SC025,Park,Meeting access central gathering meeting service central service,2024-04-18 22:51:57,2024-07-06 03:26:27
SC026,Courtyard,Friendly service family secure book event book book,2020-07-15 19:27:27,2025-08-16 12:48:08
SC027,Community Hall,Community service gathering facility event central public open,2021-03-28 06:51:36,2025-07-26 22:20:03
SC028,Plaza,Secure reserve reserve secure access central public public,2020-02-05 17:27:31,2024-12-22 11:20:38
SC029,Rooftop,Public access nearby service nearby open event reserve,2020-08-30 08:05:44,2024-05-11 05:10:59
SC030,Gym,Event area nearby access friendly public community facility,2022-06-02 01:32:52,2024-07-20 03:55:31
SC031,Park,Friendly service space public meeting space book friendly,2024-05-21 04:30:25,2025-09-08 07:28:42
SC032,Courtyard,Central open gathering space secure central central event,2020-11-24 18:13:39,2025-09-19 08:48:16
