Place_ID,Name,Description,Location,City,State,Country,Opening_Time,Closing_Time,contact_info,Total_Spots,Space_Categories_ID,Log_ID,Created_At,Updated_At
PL0016,Oak Center,Community central facility spot secure gathering gathering available spot service,"Phoenix, AZ",Phoenix,AZ,USA,06:00,19:00,320-114-3275,20,SC012,LOG00001,1/12/23 04:28,23/5/24 20:15
PL0021,Maple Park,Central available central space central access nearby meeting book facility,"Houston, TX",Houston,TX,USA,08:00,22:00,550-801-5404,4,SC036,LOG00002,26/12/22 16:20,19/11/24 00:11
PL0065,Maple Park,Public friendly spot secure secure reserve facility open public book,"Houston, TX",Houston,TX,USA,08:00,19:00,525-812-5523,48,SC084,LOG00003,11/1/22 20:57,14/4/24 05:22
PL0036,Civic Plaza,Event access book access friendly service event community friendly central,"Miami, FL",Miami,FL,USA,07:00,20:00,409-237-2378,25,SC027,LOG00004,10/5/20 19:27,30/1/25 06:51
PL0089,Union Library,Nearby event central family meeting public family meeting nearby available,"San Francisco, CA",San Francisco,CA,USA,06:00,20:00,720-248-5971,12,SC033,LOG00005,5/1/23 23:55,20/8/25 03:52
PL0086,Union Center,Community open spot meeting family family central nearby family access,"Houston, TX",Houston,TX,USA,06:00,21:00,939-425-6772,34,SC065,LOG00006,7/12/20 21:48,7/10/24 04:41
PL0057,Liberty Hall,Event book event event area gathering gathering available nearby family,"San Francisco, CA",San Francisco,CA,USA,06:00,18:00,163-260-6826,47,SC018,LOG00007,17/5/23 04:28,27/6/25 10:10
PL0002,Oak Plaza,Service space gathering friendly gathering book open friendly access area,"Miami, FL",Miami,FL,USA,09:00,21:00,276-369-1369,44,SC047,LOG00008,25/6/22 05:18,11/1/24 18:50
PL0052,Central Hall,Central open friendly nearby friendly friendly event reserve available gathering,"Austin, TX",Austin,TX,USA,06:00,23:00,446-901-9434,16,SC062,LOG00009,23/7/24 13:09,8/10/25 01:01
PL0067,Civic Park,Friendly family book meeting book gathering public space facility book,"Boston, MA",Boston,MA,USA,07:00,18:00,234-878-8247,18,SC089,LOG00010,12/7/20 21:35,4/7/24 13:58
